2025-05-21 11:00:00 UTC-682db013.35b-LOG:  [pg-availability]: current_lsn: 0/8023A90, current_lsn_counter: 6, spi_return_msg: SPI_OK_UPDATE
2025-05-21 11:00:05 UTC-682db221.4e8-LOG:  disconnection: session time: 0:00:20.053 user=azuresu database=azure_sys host=127.0.0.1 port=37940
2025-05-21 11:00:09 UTC-682db225.4eb-LOG:  disconnection: session time: 0:00:20.039 user=azuresu database=azure_maintenance host=127.0.0.1 port=54794
2025-05-21 11:00:10 UTC-682db226.4ec-LOG:  disconnection: session time: 0:00:20.031 user=azuresu database=postgres host=127.0.0.1 port=54806
2025-05-21 11:00:10 UTC-682db23a.501-LOG:  connection received: host=127.0.0.1 port=34834
2025-05-21 11:00:10 UTC-682db23a.501-LOG:  connection authenticated: identity=\"CN=azuresu.d481e194acdf.database.azure.com\" method=cert (/datadrive/pg/data/pg_hba.conf:12)
2025-05-21 11:00:10 UTC-682db23a.501-LOG:  connection authorized: user=azuresu database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)
2025-05-21 11:00:13 UTC-682db23d.504-LOG:  connection received: host=127.0.0.1 port=34850
2025-05-21 11:00:13 UTC-682db23d.504-LOG:  connection authenticated: identity=\"CN=azuresu.d481e194acdf.database.azure.com\" method=cert (/datadrive/pg/data/pg_hba.conf:12)
2025-05-21 11:00:13 UTC-682db23d.504-LOG:  connection authorized: user=azuresu database=azure_maintenance SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)
2025-05-21 11:00:16 UTC-682db240.505-LOG:  connection received: host=127.0.0.1 port=34852
2025-05-21 11:00:16 UTC-682db240.505-LOG:  connection authenticated: identity=\"CN=azuresu.d481e194acdf.database.azure.com\" method=cert (/datadrive/pg/data/pg_hba.conf:12)
2025-05-21 11:00:16 UTC-682db240.505-LOG:  connection authorized: user=azuresu database=azure_sys SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)
